,Replica 1,Replica 2,Replica 3,Replica 4,Replica 5,Replica 6,Replica 7,Replica 8,MEAN,STD
Time (h),Density (cells/mL),Density (cells/mL),Density (cells/mL),Density (cells/mL),Density (cells/mL),Density (cells/mL),Density (cells/mL),Density (cells/mL),Mean density,Standard deviation
5.833333333,215537.4875,391888.2676,446063.8547,608347.9289,743307.2738,324111.7891,432523.7547,378338.0406,442514.7996,164884.7352
6,201954.2669,391888.2676,459601.4248,608347.9289,608347.9289,310548.8868,486668.9782,418981.124,435792.3508,139018.2511
6.166666667,269844.9536,432523.7547,500198.9629,635359.944,1240476.732,378338.0406,554293.6387,391888.2676,550365.5367,300783.8838
6.333333333,269844.9536,418981.124,486668.9782,635359.944,945275.1649,378338.0406,527251.3519,391888.2676,506700.9781,208113.4983
6.5,310548.8868,446063.8547,540773.7577,689353.7433,1200293.023,391888.2676,513726.4205,418981.124,563953.6347,280929.2156
6.666666667,324111.7891,459601.4248,554293.6387,675859.0705,689353.7433,446063.8547,513726.4205,432523.7547,511941.7121,124675.2867
6.833333333,391888.2676,486668.9782,567810.9956,716335.5392,783746.0232,405435.9619,567810.9956,500198.9629,552486.9655,139016.3098
7,391888.2676,513726.4205,594838.1399,743307.2738,729822.6638,446063.8547,567810.9956,540773.7577,566028.9217,123738.844
7.166666667,418981.124,513726.4205,594838.1399,756789.3698,797220.582,459601.4248,621855.1967,500198.9629,582901.4026,137075.1793
7.333333333,459601.4248,554293.6387,635359.944,770268.9527,756789.3698,486668.9782,621855.1967,689353.7433,621773.906,115967.0011
7.5,500198.9629,554293.6387,648862.1716,756789.3698,891472.2271,486668.9782,662361.8802,648862.1716,643688.675,135133.0719
7.666666667,486668.9782,581325.8291,635359.944,797220.582,702845.8993,540773.7577,689353.7433,581325.8291,626859.3203,99989.56156
7.833333333,513726.4205,675859.0705,716335.5392,878015.2298,810692.6298,581325.8291,756789.3698,594838.1399,690947.7786,123751.9567
8,567810.9956,648862.1716,756789.3698,891472.2271,958719.6402,648862.1716,770268.9527,716335.5392,744890.1335,130170.3111
8.166666667,608347.9289,635359.944,783746.0232,945275.1649,891472.2271,716335.5392,837629.1954,770268.9527,773554.3719,117884.7873
8.333333333,621855.1967,729822.6638,783746.0232,904926.7185,904926.7185,608347.9289,837629.1954,675859.0705,758389.1894,118713.1118
8.5,621855.1967,824162.1674,878015.2298,958719.6402,1133270.382,648862.1716,891472.2271,824162.1674,847564.8978,164038.7999
8.666666667,743307.2738,824162.1674,918378.7048,1079607.405,1186893.476,756789.3698,958719.6402,797220.582,908134.8274,159999.9717
8.833333333,756789.3698,878015.2298,958719.6402,1052760.946,1106443.882,716335.5392,972161.6132,958719.6402,924993.2326,135111.7153
9,837629.1954,1066185.424,985601.0848,1173491.439,1146679.893,770268.9527,1066185.424,904926.7185,993871.0163,145632.446
9.166666667,864555.7259,1066185.424,985601.0848,1213690.08,1119858.379,904926.7185,1119858.379,1012472.526,1035893.54,117239.8191
9.333333333,904926.7185,1039333.971,1039333.971,1213690.08,1173491.439,824162.1674,1106443.882,958719.6402,1032512.734,132768.6871
9.5,972161.6132,1106443.882,1119858.379,1360893.646,1294020.198,945275.1649,1253866.327,1039333.971,1136481.648,152660.0176
9.666666667,1052760.946,1146679.893,1200293.023,1414347.754,1360893.646,1025904.498,1280638.059,1200293.023,1210226.355,137492.5365
9.833333333,1079607.405,1267253.436,1267253.436,1414347.754,1374260.891,1119858.379,1294020.198,1186893.476,1250436.872,116456.9066
10,1200293.023,1320777.024,1294020.198,1507797.091,1654401.386,1280638.059,1467762.223,1400987.945,1390834.618,147308.756
10.16666667,1294020.198,1347523.92,1400987.945,1614448.008,1534474.639,1267253.436,1481109.653,1374260.891,1414259.836,120293.6852
10.33333333,1387625.658,1521137.101,1494454.608,1574472.433,1827276.654,1227084.65,1614448.008,1547809.707,1524288.602,173579.5768
10.5,1427705.086,1481109.653,1547809.707,1787419.242,1681024.648,1467762.223,1681024.648,1614448.008,1586037.902,125889.0052
10.66666667,1547809.707,1627768.266,1667714.249,1760835.35,1747539.717,1601125.284,1813993.306,1694332.584,1682639.808,89262.40252
10.83333333,1641086.059,1641086.059,1760835.35,1880385.507,2171784.208,1614448.008,1853835.987,1760835.35,1790537.066,183175.1021
11,1681024.648,1853835.987,1827276.654,1959975.244,1681024.648,1694332.584,1906925.219,1933455.129,1817231.264,116850.4671
11.16666667,1853835.987,1973231.629,1946716.41,2118890.544,1946716.41,1893656.588,2158564.447,2065957.859,1994696.235,108542.7582
11.33333333,1867111.973,1973231.629,2092429.082,2264254.368,2606674.162,1867111.973,2198216.422,2132117.616,2125143.403,243169.5145
